colour	x	y	group	showSelected	clickSelects
#F8766D	0.11190855927698	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.117224880382775	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.127857522594365	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.133173843700159	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.138490164805954	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.159755449229133	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.165071770334928	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.175704412546518	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.191653375863902	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.212918660287081	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.228867623604466	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.250132908027645	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.260765550239234	0.0454545454545455	1	Bomi	Bomi
#F8766D	0.308612440191388	0.04752891147643	1	Bomi	Bomi
#F8766D	0.351143009037746	0.04752891147643	1	Bomi	Bomi
#F8766D	0.36709197235513	0.04752891147643	1	Bomi	Bomi
#F8766D	0.37772461456672	0.04752891147643	1	Bomi	Bomi
#F8766D	0.383040935672515	0.04752891147643	1	Bomi	Bomi
#F8766D	0.393673577884104	0.04752891147643	1	Bomi	Bomi
#F8766D	0.420255183413078	0.0459731369600166	1	Bomi	Bomi
#F8766D	0.436204146730463	0.0459731369600166	1	Bomi	Bomi
#F8766D	0.457469431153642	0.0459731369600166	1	Bomi	Bomi
#F8766D	0.462785752259436	0.0459731369600166	1	Bomi	Bomi
#F8766D	0.468102073365231	0.0459731369600166	1	Bomi	Bomi
#F8766D	0.473418394471026	0.0459731369600166	1	Bomi	Bomi
#F8766D	0.478734715576821	0.04752891147643	1	Bomi	Bomi
#F8766D	0.484051036682616	0.04752891147643	1	Bomi	Bomi
#F8766D	0.48936735778841	0.04752891147643	1	Bomi	Bomi
#F8766D	0.494683678894205	0.04752891147643	1	Bomi	Bomi
#F8766D	0.505316321105795	0.04752891147643	1	Bomi	Bomi
#F8766D	0.51063264221159	0.0480475029819012	1	Bomi	Bomi
#F8766D	0.515948963317384	0.0485660944873723	1	Bomi	Bomi
#F8766D	0.521265284423179	0.0490846859928434	1	Bomi	Bomi
#F8766D	0.526581605528974	0.0490846859928434	1	Bomi	Bomi
#F8766D	0.531897926634769	0.0490846859928434	1	Bomi	Bomi
#F8766D	0.537214247740563	0.0490846859928434	1	Bomi	Bomi
#F8766D	0.542530568846358	0.0490846859928434	1	Bomi	Bomi
#F8766D	0.558479532163743	0.0490846859928434	1	Bomi	Bomi
#F8766D	0.563795853269538	0.0490846859928434	1	Bomi	Bomi
#F8766D	0.574428495481127	0.0490846859928434	1	Bomi	Bomi
#F8766D	0.585061137692717	0.0490846859928434	1	Bomi	Bomi
#F8766D	0.590377458798511	0.0490846859928434	1	Bomi	Bomi
#F8766D	0.595693779904306	0.0490846859928434	1	Bomi	Bomi
